State,City,Title,Company,Posted,Location
AK,Juneau,Cleared Data Scientist - Data Mining/Analytics/Data Visualization,Guidehouse,"May 19, 2023","Juneau, AK"
AK,Juneau,Data Scientist-Business Intelligence Engineer (Remote)Wolters Kluwer,,"May 19, 2023","Juneau, AK"
AK,Juneau,"Data Scientist, Product - Generative AIMeta",,"June 3, 2023","Juneau, AK"
AK,Juneau,"Data Scientist, Product Analytics - Machine Learning",Meta,"June 13, 2023","Juneau, AK"
AK,Juneau,"Data Scientist, Product Analytics - Monetization",Meta,"May 23, 2023","Juneau, AK"
AK,Juneau,"Data Scientist, Product Analytics - Monetization",Meta,"June 13, 2023","Juneau, AK"
AK,Juneau,"Data Scientist, Product Analytics - Reality Labs",Meta,"June 10, 2023","Juneau, AK"
AK,Anchorage,Data Engineer,Humana,"June 20, 2023","Anchorage, AK"
AK,Juneau,"Research Scientist, Machine Learning (Ph",D)Meta,"June 17, 2023","Juneau, AK"
AK,Juneau,Senior Principal Applied Scientist-OCI AIOracle,,"June 14, 2023","Juneau, AK"
AK,Juneau,Principal Applied Scientist-OCI AI Services,Oracle,"June 7, 2023","Juneau, AK"
AK,Juneau,Data Analytics Consultant,Guidehouse,"June 8, 2023","Juneau, AK"
AK,Juneau,"Director, Data Science - Fraud Detection",Travelers Insurance Company,"May 24, 2023","Juneau, AK"
AK,Juneau,Data Engineer I - Data Modeler,Travelers Insurance Company,"May 20, 2023","Juneau, AK"
AZ,Scottsdale,Data Scientist,"Arevon Energy, Inc.","June 8, 2023","Scottsdale, AZ"
AZ,Gilbert,Data Scientist,Deloitte,"June 9, 2023","Gilbert, AZ"
AZ,Phoenix,Lead NLP Data Scientist,Humana,"June 1, 2023","Phoenix, AZ"
AZ,Phoenix,Lead NLP Data Scientist,Humana,"June 4, 2023","Phoenix, AZ"
AZ,Phoenix,"Data Scientist, Product Analytics",Meta,"June 13, 2023","Phoenix, AZ"
AZ,Phoenix,"Data Scientist, Product Analytics",Meta,"May 26, 2023","Phoenix, AZ"
AZ,Phoenix,"Data Scientist, Product Analytics",Meta,"May 19, 2023","Phoenix, AZ"
AZ,Phoenix,Senior Data Scientist,Pearson,"June 3, 2023","Phoenix, AZ"
AZ,Gilbert,Senior Data Scientist,Deloitte,"June 10, 2023","Gilbert, AZ"
AZ,Phoenix,AI Senior Data Scientist,Travelers Insurance Company,"June 13, 2023","Phoenix, AZ"
AZ,Phoenix,AI Lead Data Scientist,Travelers Insurance Company,"June 7, 2023","Phoenix, AZ"
AZ,Phoenix,Director & Data Scientist,Travelers Insurance Company,"June 2, 2023","Phoenix, AZ"
AZ,Chandler,Senior Data Scientist I (Remote)RELX INC,,"April 25, 2023","Chandler, AZ"
AZ,Phoenix,AI Data Scientist/Product Owner,Travelers Insurance Company,"June 7, 2023","Phoenix, AZ"
AZ,Phoenix,Data Scientist (Hybrid / Remote)UMB Bank,,"June 6, 2023","Phoenix, AZ"
AZ,Phoenix,Cleared Data Scientist - Data Mining/Analytics/Data Visualization,Guidehouse,"May 19, 2023","Phoenix, AZ"
AZ,Phoenix,Data Scientist-Business Intelligence Engineer (Remote)Wolters Kluwer,,"May 19, 2023","Phoenix, AZ"
AZ,Phoenix,"Data Scientist, Product - Generative AIMeta",,"June 3, 2023","Phoenix, AZ"
AZ,Phoenix,"Data Scientist, Product Analytics - Machine Learning",Meta,"June 13, 2023","Phoenix, AZ"
AZ,Phoenix,"Data Scientist, Product Analytics - Monetization",Meta,"May 23, 2023","Phoenix, AZ"
AZ,Phoenix,"Data Scientist, Product Analytics - Monetization",Meta,"June 13, 2023","Phoenix, AZ"
AZ,Phoenix,"Data Scientist, Product Analytics - Reality Labs",Meta,"June 10, 2023","Phoenix, AZ"
AZ,Phoenix,Labs - Data Scientist - Senior Associate,PwC,"May 27, 2023","Phoenix, AZ"
AZ,Phoenix,Data Scientist - Secret Clearance - Remote,MindPoint Group,"June 16, 2023","Phoenix, AZ"
AZ,Mesa,"Data Scientist 2 - 16128354-3470Dexcom, Inc",,"June 15, 2023","Mesa, AZ"
AZ,Remote,Sr. Data Scientist – Digital Marketing,BECU,"May 25, 2023","Remote, AZ"
AZ,Phoenix,Senior Data Scientist - REQ001119_43245530923_2-3175The,CollegeBoard,"May 31, 2023","Phoenix, AZ"
AZ,Phoenix,Lead Cognitive/Machine Learning Professional - MLPHumana,,"June 4, 2023","Phoenix, AZ"
AZ,Phoenix,Data Engineer,Humana,"June 20, 2023","Phoenix, AZ"
AZ,Phoenix,"Research Scientist, Machine Learning (Ph",D)Meta,"June 17, 2023","Phoenix, AZ"
AZ,Phoenix,Data Engineer,U-Haul,"May 5, 2023","Phoenix, AZ"
AZ,Phoenix,Senior Principal Applied Scientist-OCI AIOracle,,"June 14, 2023","Phoenix, AZ"
AZ,Phoenix,"Customer Success Director, Data & Analytics",Acxiom LLC,"May 18, 2023","Phoenix, AZ"
AZ,Phoenix,Principal Applied Scientist-OCI AI Services,Oracle,"June 7, 2023","Phoenix, AZ"
AZ,Phoenix,Data Analytics Engineer - DATAA006496-4612Shamrock Foods Company,,"June 20, 2023","Phoenix, AZ"
AZ,Phoenix,Senior Data Analytics Engineer - SENIO006497-4612Shamrock Foods Company,,"June 20, 2023","Phoenix, AZ"
AZ,Phoenix,Data Analytics Consultant,Guidehouse,"June 8, 2023","Phoenix, AZ"
AZ,Phoenix,"Director, Data Science - Fraud Detection",Travelers Insurance Company,"May 24, 2023","Phoenix, AZ"
AZ,Phoenix,Data Engineer I - Data Modeler,Travelers Insurance Company,"May 20, 2023","Phoenix, AZ"
AR,Remote,Data Scientist,"ICONMA, LLC","June 7, 2023","Remote, AR"
AR,FAYETTEVIL,Enterprise Data Scientist,Arkansas Department of Workforce Services,"June 15, 2023","FAYETTEVIL, AR"
AR,FAYETTEVIL,Enterprise Data Scientist,Arkansas Department of Workforce Services,"June 4, 2023","FAYETTEVIL, AR"
AR,FAYETTEVIL,Enterprise Data Scientist,Arkansas Department of Workforce Services,"May 25, 2023","FAYETTEVIL, AR"
AR,Lowell,Enterprise Data Scientist,Arvest Bank Operations (DWS Rogers),"May 25, 2023","Lowell, AR"
AR,Rogers,Lead NLP Data Scientist,Humana,"June 1, 2023","Rogers, AR"
AR,Rogers,Lead NLP Data Scientist,Humana,"June 4, 2023","Rogers, AR"
AR,Little Rock,"Data Scientist, Product Analytics",Meta,"June 13, 2023","Little Rock, AR"
AR,Little Rock,"Data Scientist, Product Analytics",Meta,"May 26, 2023","Little Rock, AR"
AR,Little Rock,"Data Scientist, Product Analytics",Meta,"May 19, 2023","Little Rock, AR"
AR,Little Rock,Senior Data Scientist,Pearson,"June 3, 2023","Little Rock, AR"
AR,Little Rock,AI Senior Data Scientist,Travelers Insurance Company,"June 13, 2023","Little Rock, AR"
AR,Little Rock,AI Lead Data Scientist,Travelers Insurance Company,"June 7, 2023","Little Rock, AR"
AR,Little Rock,Director & Data Scientist,Travelers Insurance Company,"June 2, 2023","Little Rock, AR"
AR,Little Rock,Senior Data Scientist I (Remote)RELX INC,,"April 25, 2023","Little Rock, AR"
AR,Little Rock,AI Data Scientist/Product Owner,Travelers Insurance Company,"June 7, 2023","Little Rock, AR"
AR,Little Rock,Data Scientist (Hybrid / Remote)UMB Bank,,"June 6, 2023","Little Rock, AR"
AR,Little Rock,Cleared Data Scientist - Data Mining/Analytics/Data Visualization,Guidehouse,"May 19, 2023","Little Rock, AR"
AR,Little Rock,Data Scientist-Business Intelligence Engineer (Remote)Wolters Kluwer,,"May 19, 2023","Little Rock, AR"
AR,Little Rock,"Data Scientist, Product - Generative AIMeta",,"June 3, 2023","Little Rock, AR"
AR,Little Rock,"Data Scientist, Product Analytics - Machine Learning",Meta,"June 13, 2023","Little Rock, AR"
AR,Little Rock,"Data Scientist, Product Analytics - Monetization",Meta,"May 23, 2023","Little Rock, AR"
AR,Little Rock,"Data Scientist, Product Analytics - Monetization",Meta,"June 13, 2023","Little Rock, AR"
AR,Little Rock,"Data Scientist, Product Analytics - Reality Labs",Meta,"June 10, 2023","Little Rock, AR"
AR,Little Rock,Labs - Data Scientist - Senior Associate,PwC,"May 27, 2023","Little Rock, AR"
AR,Fayetteville,Labs - Data Scientist - Senior Associate,PwC,"May 27, 2023","Fayetteville, AR"
AR,Little Rock,Data Scientist - Secret Clearance - Remote,MindPoint Group,"June 16, 2023","Little Rock, AR"
AR,Little Rock,Senior Data Scientist - REQ001119_43245530923_1-3175The,CollegeBoard,"May 31, 2023","Little Rock, AR"
AR,Rogers,Lead Cognitive/Machine Learning Professional - MLPHumana,,"June 4, 2023","Rogers, AR"
AR,Rogers,Data Engineer,Humana,"June 20, 2023","Rogers, AR"
AR,Little Rock,"Research Scientist, Machine Learning (Ph",D)Meta,"June 17, 2023","Little Rock, AR"
AR,Little Rock,Senior Principal Applied Scientist-OCI AIOracle,,"June 14, 2023","Little Rock, AR"
AR,Little Rock,"Customer Success Director, Data & Analytics",Acxiom LLC,"May 18, 2023","Little Rock, AR"
AR,Little Rock,Principal Applied Scientist-OCI AI Services,Oracle,"June 7, 2023","Little Rock, AR"
AR,Springdale,"Data Analytics Senior - R0253795-4330Tyson Foods, Inc.",,"June 17, 2023","Springdale, AR"
AR,Springdale,Data Analytics Senior,Tyson Foods Inc.,"June 10, 2023","Springdale, AR"
AR,Little Rock,Data Analytics Consultant,Guidehouse,"June 8, 2023","Little Rock, AR"
AR,Little Rock,"Director, Data Science - Fraud Detection",Travelers Insurance Company,"May 24, 2023","Little Rock, AR"
AR,Little Rock,Data Engineer I - Data Modeler,Travelers Insurance Company,"May 20, 2023","Little Rock, AR"
CA,Oakland,Data Scientist,PG&E,"June 18, 2023","Oakland, CA"
CA,San Bruno,Data Scientist,FocusKPI Inc.,"June 18, 2023","San Bruno, CA"
CA,San Francisco,Data Scientist,"CoStar Realty Information, Inc.","June 8, 2023","San Francisco, CA"
CA,Sunnyvale,Data Scientist,ManpowerGroup,"June 9, 2023","Sunnyvale, CA"
CA,Stanford,Data Scientist,Stanford University,"June 9, 2023","Stanford, CA"
CA,Vallejo,Data Scientist,US Forest Service - Amador Ranger District,"June 17, 2023","Vallejo, CA"
CA,Remote,Data Scientist,Virtualitics,"April 23, 2023","Remote, CA"
CA,Alameda,Data Scientist,Abbott,"May 14, 2023","Alameda, CA"
CA,Los Angeles,Senior Data Scientist,UCLA Health,"June 17, 2023","Los Angeles, CA"
CA,San Diego,Senior Data Scientist/Analyst,H2 Performance Consulting,"May 26, 2023","San Diego, CA"
CA,Mountain View,Senior Staff Data Scientist,Intuit,"June 17, 2023","Mountain View, CA"
CA,Mountain View,Principal Data Scientist,Intuit,"June 17, 2023","Mountain View, CA"
CA,Mountain View,Senior Staff Data Scientist,Intuit,"June 17, 2023","Mountain View, CA"
CA,Mountain View,Senior Data Scientist,Intuit,"June 17, 2023","Mountain View, CA"
CA,Santa Monica,Sr Data Instrumentation Scientist,Disney Media & Entertainment Distribution,"June 18, 2023","Santa Monica, CA"
CA,Alameda,Senior Data Scientist,Abbott,"April 26, 2023","Alameda, CA"
CA,Torrance,Lead NLP Data Scientist,Humana,"June 1, 2023","Torrance, CA"
CA,Torrance,Lead NLP Data Scientist,Humana,"June 4, 2023","Torrance, CA"
CA,Menlo Park,"Data Scientist, Product Analytics",Meta,"June 13, 2023","Menlo Park, CA"
CA,Los Angeles,"Data Scientist, Product Analytics",Meta,"June 13, 2023","Los Angeles, CA"
CA,Burlingame,"Data Scientist, Product Analytics",Meta,"June 13, 2023","Burlingame, CA"
CA,Sacramento,"Data Scientist, Product Analytics",Meta,"June 13, 2023","Sacramento, CA"
CA,Pomona,"Data Scientist, Manager [HYBRID]Southern California Edison",,"June 15, 2023","Pomona, CA"
CA,Fremont,"Data Scientist, Product Analytics",Meta,"June 3, 2023","Fremont, CA"
CA,San Diego,Biomechanics Data Scientist,Leidos,"June 15, 2023","San Diego, CA"
CA,San Francisco,Lead Data Scientist,Cisco,"June 2, 2023","San Francisco, CA"
CA,Chatsworth,Data Scientist IIGoodman Manufacturing Company,,"May 12, 2023","Chatsworth, CA"
CA,Palo Alto,Senior Data Scientist,SAP,"June 17, 2023","Palo Alto, CA"
CA,Sacramento,"Data Scientist, Product Analytics",Meta,"May 26, 2023","Sacramento, CA"
CA,San Francisco,"Data Scientist, Product Analytics",Meta,"May 20, 2023","San Francisco, CA"
CA,Sacramento,"Data Scientist, Product Analytics",Meta,"May 19, 2023","Sacramento, CA"
CA,Menlo Park,"Data Scientist, Product Analytics",Meta,"May 19, 2023","Menlo Park, CA"
CA,Burlingame,"Data Scientist, Product Analytics",Meta,"May 19, 2023","Burlingame, CA"
CA,Menlo Park,"Data Scientist, Product Analytics",Meta,"May 19, 2023","Menlo Park, CA"
CA,Burlingame,"Data Scientist, Product Analytics",Meta,"May 19, 2023","Burlingame, CA"
CA,San Francisco,"Data Scientist, Product Analytics",Meta,"May 19, 2023","San Francisco, CA"
CA,Santa Monica,Remote Senior Data Scientist,Kforce,"June 10, 2023","Santa Monica, CA"
CA,Sacramento,Senior Data Scientist,Pearson,"June 3, 2023","Sacramento, CA"
CA,Mountain View,"Data Scientist, Analytics",Airtable,"June 1, 2023","Mountain View, CA"
CA,Pleasanton,Lead Data Scientist,The Clorox Company,"May 17, 2023","Pleasanton, CA"
CA,Sacramento,AI Senior Data Scientist,Travelers Insurance Company,"June 13, 2023","Sacramento, CA"
CA,Sacramento,AI Lead Data Scientist,Travelers Insurance Company,"June 7, 2023","Sacramento, CA"
CA,Sacramento,Director & Data Scientist,Travelers Insurance Company,"June 2, 2023","Sacramento, CA"
CA,Pleasanton,Senior Data Scientist,The Clorox Company,"June 15, 2023","Pleasanton, CA"
CA,San Diego,Principal Data Scientist,Labcorp,"May 13, 2023","San Diego, CA"
CA,Mountain View,Product Data Scientist,Waymo,"May 12, 2023","Mountain View, CA"
CA,San Francisco,Product Data Scientist,Waymo,"May 12, 2023","San Francisco, CA"
CA,San Francisco,"Data Scientist, Decisions - Rider",Lyft,"June 9, 2023","San Francisco, CA"
CA,Cupertino,"Data Scientist - SIML, ISEApple",,"June 2, 2023","Cupertino, CA"
CA,Cupertino,Subscriptions & Commerce Data Scientist,Apple,"June 3, 2023","Cupertino, CA"
CA,Los Angeles,Data Scientist (L6) - Ads,Netflix,"June 9, 2023","Los Angeles, CA"
CA,Thousand Oaks,Senior Data Scientist and Protein Designer,Amgen,"May 23, 2023","Thousand Oaks, CA"
CA,Sacramento,Senior Data Scientist I (Remote)RELX INC,,"April 25, 2023","Sacramento, CA"
CA,Sacramento,AI Data Scientist/Product Owner,Travelers Insurance Company,"June 7, 2023","Sacramento, CA"
CA,Sacramento,Data Scientist (Hybrid / Remote)UMB Bank,,"June 6, 2023","Sacramento, CA"
CA,Sacramento,Cleared Data Scientist - Data Mining/Analytics/Data Visualization,Guidehouse,"May 19, 2023","Sacramento, CA"
CA,san bruno,pre system- data scientist w/ mmm or mta,Randstad US,"June 21, 2023","san bruno, CA"
CA,Sacramento,Data Scientist-Business Intelligence Engineer (Remote)Wolters Kluwer,,"May 19, 2023","Sacramento, CA"
CA,Sacramento,"Data Scientist, Product - Generative AIMeta",,"June 3, 2023","Sacramento, CA"
CA,Menlo Park,"Data Scientist, Product - Generative AIMeta",,"June 3, 2023","Menlo Park, CA"
CA,Menlo Park,"Data Scientist, Product Analytics - Machine Learning",Meta,"June 13, 2023","Menlo Park, CA"
CA,Sacramento,"Data Scientist, Product Analytics - Machine Learning",Meta,"June 13, 2023","Sacramento, CA"
CA,Sacramento,"Data Scientist, Product Analytics - Monetization",Meta,"May 23, 2023","Sacramento, CA"
CA,Menlo Park,"Data Scientist, Product Analytics - Monetization",Meta,"May 23, 2023","Menlo Park, CA"
CA,Menlo Park,"Data Scientist, Product Analytics - Monetization",Meta,"June 13, 2023","Menlo Park, CA"
CA,Sacramento,"Data Scientist, Product Analytics - Monetization",Meta,"June 13, 2023","Sacramento, CA"
CA,San Francisco,"Data Scientist, Product Analytics - Monetization",Meta,"June 13, 2023","San Francisco, CA"
CA,Burlingame,"Data Scientist, Product Analytics - Reality Labs",Meta,"June 10, 2023","Burlingame, CA"
CA,Sacramento,"Data Scientist, Product Analytics - Reality Labs",Meta,"June 10, 2023","Sacramento, CA"
CA,Sacramento,Labs - Data Scientist - Senior Associate,PwC,"May 27, 2023","Sacramento, CA"
CA,San Jose,Labs - Data Scientist - Senior Associate,PwC,"May 27, 2023","San Jose, CA"
CA,Los Angeles,Labs - Data Scientist - Senior Associate,PwC,"May 27, 2023","Los Angeles, CA"
CA,San Diego,Labs - Data Scientist - Senior Associate,PwC,"May 27, 2023","San Diego, CA"
CA,Irvine,Labs - Data Scientist - Senior Associate,PwC,"May 27, 2023","Irvine, CA"
CA,San Francisco,Labs - Data Scientist - Senior Associate,PwC,"May 27, 2023","San Francisco, CA"
CA,Cupertino,App Store & Arcade Marketing Data Scientist,Apple,"June 1, 2023","Cupertino, CA"
CA,Los Angeles,"Engineering Data Scientist, Monetization, 8+ Years of Experience",Snap Inc.,"May 12, 2023","Los Angeles, CA"
CA,Palo Alto,"Engineering Data Scientist, Monetization, 8+ Years of Experience",Snap Inc.,"May 12, 2023","Palo Alto, CA"
CA,Los Angeles,Data Scientist - Data Science and Engineering - US Remote,Amgen,"June 15, 2023","Los Angeles, CA"
CA,Redwood City,"Business and Marketing Data Scientist, Applied Machine Learning",Google,"May 30, 2023","Redwood City, CA"
CA,San Francisco,"Senior Data Scientist, Support (Natural Language Processing and Causal Inference)Door",Dash,"June 20, 2023","San Francisco, CA"
CA,Cupertino,"AI Data Scientist/Machine Learning Engineer, WW CSOApple",,"May 25, 2023","Cupertino, CA"
CA,Cupertino,AIML - Data Scientist -Operations Research and Machine Learning,Apple,"May 23, 2023","Cupertino, CA"
CA,Torrance,Lead Cognitive/Machine Learning Professional - MLPHumana,,"June 4, 2023","Torrance, CA"
CA,Torrance,Data Engineer,Humana,"June 20, 2023","Torrance, CA"
CA,San Francisco,Data Engineer,SS&C Technologies,"June 16, 2023","San Francisco, CA"
CA,Los Gatos,Machine Learning Scientist (L6) - Product,Netflix,"June 9, 2023","Los Gatos, CA"
CA,Pleasanton,Machine Learning Engineer,Kforce,"June 14, 2023","Pleasanton, CA"
CA,Sacramento,"Research Scientist, Machine Learning (Ph",D)Meta,"June 17, 2023","Sacramento, CA"
CA,Los Angeles,"Research Scientist, Machine Learning (Ph",D)Meta,"June 17, 2023","Los Angeles, CA"
CA,Sunnyvale,"Research Scientist, Machine Learning (Ph",D)Meta,"June 17, 2023","Sunnyvale, CA"
CA,Burlingame,"Research Scientist, Machine Learning (Ph",D)Meta,"June 17, 2023","Burlingame, CA"
CA,Menlo Park,"Research Scientist, Machine Learning (Ph",D)Meta,"June 17, 2023","Menlo Park, CA"
CA,Palo Alto,Applied Artificial Intelligence Machine Learning Lead - VPJPMorgan Chase,,"June 10, 2023","Palo Alto, CA"
CA,Palo Alto,Applied Artificial Intelligence Machine Learning Lead - VPJPMorgan Chase,,"June 8, 2023","Palo Alto, CA"
CA,Culver City,Applied Scientist,Apple,"June 1, 2023","Culver City, CA"
CA,Santa Clara,"Applied Scientist II, AWS AIAmazon Web Services",,"June 7, 2023","Santa Clara, CA"
CA,Cupertino,"Proactive Intelligence, Applied Research Scientist — Generative AIApple",,"May 25, 2023","Cupertino, CA"
CA,Cupertino,"Proactive Intelligence, Applied Research Scientist — Generative AIApple",,"April 27, 2023","Cupertino, CA"
CA,Remote,Analytics Engineer,Arch Systems,"May 13, 2023","Remote, CA"
CO,Boulder,Data Scientist,ChampionX LLC,"June 8, 2023","Boulder, CO"
CO,Centennial,Data Scientist,Rose International INC,"May 18, 2023","Centennial, CO"
CO,Colorado Springs,Data Scientist,"Torch Technologies, Inc","June 1, 2023","Colorado Springs, CO"
CO,Greenwood Village,Data Scientist,ClearChoice Dental Implant Centers,"April 27, 2023","Greenwood Village, CO"
CO,Aurora,"Data Scientist, Lead",Booz Allen Hamilton,"May 24, 2023","Aurora, CO"
CO,Aurora,"Data Scientist, Mid",Booz Allen Hamilton,"May 19, 2023","Aurora, CO"
CO,Aurora,"Data Scientist, Mid",Booz Allen Hamilton INC,"June 20, 2023","Aurora, CO"
CO,Colorado Springs,2023 Data Scientist,The Aerospace Corporation,"June 21, 2023","Colorado Springs, CO"
CO,Aurora,"Data Scientist, Lead",Booz Allen Hamilton INC,"May 25, 2023","Aurora, CO"
CO,Denver,Senior Data Scientist,The College Board,"June 3, 2023","Denver, CO"
CO,Colorado Springs,Lead NLP Data Scientist,Humana,"June 1, 2023","Colorado Springs, CO"
CO,Colorado Springs,Lead NLP Data Scientist,Humana,"June 4, 2023","Colorado Springs, CO"
CO,Peterson AFB,Data Scientist - Senior,PAE,"June 13, 2023","Peterson AFB, CO"
CO,Denver,"Data Scientist, Product Analytics",Meta,"June 13, 2023","Denver, CO"
CO,Denver,Data Scientist (Engineer II)The College Board,,"June 10, 2023","Denver, CO"
CO,Denver,Data Scientist - Pricing,The Hertz Corporation,"June 1, 2023","Denver, CO"
CO,Denver,"Data Scientist, Product Analytics",Meta,"May 26, 2023","Denver, CO"
CO,Denver,"Data Scientist, Product Analytics",Meta,"May 19, 2023","Denver, CO"
CO,Englewood,Senior Data Scientist,DISH,"May 6, 2023","Englewood, CO"
CO,Denver,Senior Data Scientist,Pearson,"June 3, 2023","Denver, CO"
CO,Statewide,Data Scientist IIColorado State,,"June 10, 2023","Statewide, CO"
CO,Denver,Sr Data Scientist - Pricing,The Hertz Corporation,"June 1, 2023","Denver, CO"
CO,Colorado Springs,"Tech Excellence Data Scientist, Junior",Booz Allen Hamilton INC,"June 16, 2023","Colorado Springs, CO"
CO,Colorado Springs,"Tech Excellence Data Scientist, Mid",Booz Allen Hamilton INC,"May 30, 2023","Colorado Springs, CO"
CO,Denver,Senior Data Scientist I (Remote)RELX INC,,"April 25, 2023","Denver, CO"
CO,Denver,Data Scientist (Hybrid / Remote)UMB Bank,,"June 6, 2023","Denver, CO"
CO,Denver,Cleared Data Scientist - Data Mining/Analytics/Data Visualization,Guidehouse,"May 19, 2023","Denver, CO"
CO,Fort Collins,Principal Scientist - Data Solutions Team Lead,Zoetis,"June 16, 2023","Fort Collins, CO"
CO,Greenwood Village,"Principal Data Scientist I, Spectrum Enterprise",Charter Communications/Spectrum,"June 15, 2023","Greenwood Village, CO"
CO,Denver,"Data Scientist, Product - Generative AIMeta",,"June 3, 2023","Denver, CO"
CO,Denver,"Data Scientist, Product Analytics - Machine Learning",Meta,"June 13, 2023","Denver, CO"
CO,Denver,"Data Scientist, Product Analytics - Monetization",Meta,"May 23, 2023","Denver, CO"
CO,Denver,"Data Scientist, Product Analytics - Monetization",Meta,"June 13, 2023","Denver, CO"
CO,Denver,"Data Scientist, Product Analytics - Reality Labs",Meta,"June 10, 2023","Denver, CO"
CO,Denver,Labs - Data Scientist - Senior Associate,PwC,"May 27, 2023","Denver, CO"
