State,City,Title,Company,Posted,Location
AL,Montgomery,"Director, Data Science - Fraud Detection",Travelers Insurance Company,"May 24, 2023","Montgomery, AL"
AL,Montgomery,Data Engineer I - Data Modeler,Travelers Insurance Company,"May 20, 2023","Montgomery, AL"
AL,Montgomery,Data Analytics Specialist,Cadmus,"April 19, 2023","Montgomery, AL"
AL,Montgomery,"Data Engineer I, Underwriting Automation and Artificial Intelligence",Travelers Insurance Company,"April 14, 2023","Montgomery, AL"
AK,Juneau,Data Scientist,Ford Motor Company,"May 13, 2023","Juneau, AK"
AK,Anchorage,Senior Data Scientist,Humana,"May 25, 2023","Anchorage, AK"
AK,Juneau,Senior Data Scientist,Pearson,"June 3, 2023","Juneau, AK"
AK,Juneau,"Data Scientist, Product Analytics",Meta,"May 26, 2023","Juneau, AK"
AK,Juneau,"Data Scientist, Product Analytics",Meta,"May 19, 2023","Juneau, AK"
AK,Juneau,Cleared Data Scientist,Guidehouse,"April 6, 2023","Juneau, AK"
AK,Juneau,Director & Data Scientist (REMOTE)Travelers Insurance Company,,"June 2, 2023","Juneau, AK"
AK,Juneau,Senior Data Scientist I (Remote)RELX INC,,"April 25, 2023","Juneau, AK"
AK,Juneau,Cleared Data Scientist - Data Mining/Analytics/Data Visualization,Guidehouse,"May 19, 2023","Juneau, AK"
AK,Juneau,"Data Scientist, Product - Generative AIMeta",,"June 3, 2023","Juneau, AK"
AK,Juneau,Data Scientist-Business Intelligence Engineer (Remote)Wolters Kluwer,,"May 19, 2023","Juneau, AK"
AK,Juneau,"Data Scientist, Product Analytics - Monetization",Meta,"May 23, 2023","Juneau, AK"
AK,Juneau,"Data Scientist, Product Analytics - Monetization",Meta,"May 23, 2023","Juneau, AK"
AK,Juneau,"Data Scientist, Product Analytics - App Foundation",Meta,"May 20, 2023","Juneau, AK"
AK,Juneau,Cleared Data Scientist - Data Mining/CX/Customer Analytics,Guidehouse,"April 12, 2023","Juneau, AK"
AK,Juneau,AVP & Data Scientist (DS Leadership)Travelers Insurance Company,,"April 11, 2023","Juneau, AK"
AK,Juneau,"Data Scientist, Underwriting Automation and Artificial Intelligence",Travelers Insurance Company,"April 14, 2023","Juneau, AK"
AK,Juneau,"Senior Data Scientist, Predictive Analytics/Artificial Intelligence – (JRD DS)J&J Family of Companies",,"May 20, 2023","Juneau, AK"
AK,Juneau,"Director, Data Science - Fraud Detection",Travelers Insurance Company,"May 24, 2023","Juneau, AK"
AK,Juneau,Data Engineer I - Data Modeler,Travelers Insurance Company,"May 20, 2023","Juneau, AK"
AK,Juneau,"Data Engineer I, Underwriting Automation and Artificial Intelligence",Travelers Insurance Company,"April 14, 2023","Juneau, AK"
AZ,Scottsdale,Data Scientist,General Dynamics Information Technology,"May 24, 2023","Scottsdale, AZ"
AZ,Phoenix,Data Scientist,Ford Motor Company,"May 13, 2023","Phoenix, AZ"
AZ,Tempe,Data Scientist,Deloitte,"May 17, 2023","Tempe, AZ"
AZ,Tucson,Data Scientist,Deloitte,"April 22, 2023","Tucson, AZ"
AZ,Flagstaff,Senior Data Scientist,Humana,"May 25, 2023","Flagstaff, AZ"
AZ,Tucson,Senior Data Scientist,Humana,"May 25, 2023","Tucson, AZ"
AZ,Phoenix,Senior Data Scientist,Humana,"May 25, 2023","Phoenix, AZ"
AZ,Tempe,Sr Data Scientist,Circle K Stores Inc,"May 8, 2023","Tempe, AZ"
AZ,Phoenix,Lead NLP Data Scientist,Humana,"June 1, 2023","Phoenix, AZ"
AZ,Tempe,Lead Data Scientist,Circle K Stores Inc,"May 8, 2023","Tempe, AZ"
AZ,Phoenix,Senior Data Scientist,Pearson,"June 3, 2023","Phoenix, AZ"
AZ,Tucson,Data Scientist (REMOTE)Sedgwick,,"April 28, 2023","Tucson, AZ"
AZ,Phoenix,Data Scientist (REMOTE)Sedgwick,,"April 28, 2023","Phoenix, AZ"
AZ,Flagstaff,Data Scientist (REMOTE)Sedgwick,,"April 28, 2023","Flagstaff, AZ"
AZ,Phoenix,"Data Scientist, Product Analytics",Meta,"May 26, 2023","Phoenix, AZ"
AZ,Phoenix,"Data Scientist, Product Analytics",Meta,"May 19, 2023","Phoenix, AZ"
AZ,Phoenix,Cleared Data Scientist,Guidehouse,"April 6, 2023","Phoenix, AZ"
AZ,Phoenix,Director & Data Scientist (REMOTE)Travelers Insurance Company,,"June 2, 2023","Phoenix, AZ"
AZ,Tucson,Data Scientist - Product Analytics,"Caterpillar, Inc.","May 26, 2023","Tucson, AZ"
AZ,Chandler,Senior Data Scientist I (Remote)RELX INC,,"April 25, 2023","Chandler, AZ"
AZ,Phoenix,Cleared Data Scientist - Data Mining/Analytics/Data Visualization,Guidehouse,"May 19, 2023","Phoenix, AZ"
AZ,Phoenix,"Data Scientist, Product - Generative AIMeta",,"June 3, 2023","Phoenix, AZ"
AZ,Phoenix,Data Scientist-Business Intelligence Engineer (Remote)Wolters Kluwer,,"May 19, 2023","Phoenix, AZ"
AZ,Phoenix,"Data Scientist, Product Analytics - Monetization",Meta,"May 23, 2023","Phoenix, AZ"
AZ,Phoenix,"Data Scientist, Product Analytics - Monetization",Meta,"May 23, 2023","Phoenix, AZ"
AZ,Phoenix,Labs - Data Scientist - Senior Associate,PwC,"May 27, 2023","Phoenix, AZ"
AZ,Phoenix,"Data Scientist, Product Analytics - App Foundation",Meta,"May 20, 2023","Phoenix, AZ"
AZ,Tucson,Senior Data Scientist - Product Analytics,"Caterpillar, Inc.","May 26, 2023","Tucson, AZ"
AZ,Remote,Sr. Data Scientist – Digital Marketing,BECU,"May 25, 2023","Remote, AZ"
AZ,Phoenix,Cleared Data Scientist - Data Mining/CX/Customer Analytics,Guidehouse,"April 12, 2023","Phoenix, AZ"
AZ,Phoenix,AVP & Data Scientist (DS Leadership)Travelers Insurance Company,,"April 11, 2023","Phoenix, AZ"
AZ,Phoenix,"Data Scientist, Underwriting Automation and Artificial Intelligence",Travelers Insurance Company,"April 14, 2023","Phoenix, AZ"
AZ,Phoenix,Senior Data Scientist - REQ001119_43245530923_2-3175The,CollegeBoard,"May 31, 2023","Phoenix, AZ"
AZ,Phoenix,Data Scientist (Engineer II) - REQ001040_43245530923_2-3175The,CollegeBoard,"June 1, 2023","Phoenix, AZ"
AZ,Phoenix,"Senior Data Scientist, Predictive Analytics/Artificial Intelligence – (JRD DS)J&J Family of Companies",,"May 20, 2023","Phoenix, AZ"
AZ,Chandler,Senior Data Scientist - Motorsports - Artificial Intelligence and Machine Learning,General Motors,"June 2, 2023","Chandler, AZ"
AZ,Phoenix,Data Engineer,U-Haul,"May 5, 2023","Phoenix, AZ"
AZ,Phoenix,"Customer Success Director, Data & Analytics",Acxiom LLC,"May 18, 2023","Phoenix, AZ"
AZ,Phoenix,Business Intelligence Engineer,Humana,"May 31, 2023","Phoenix, AZ"
AZ,Phoenix,"Director, Data Science - Fraud Detection",Travelers Insurance Company,"May 24, 2023","Phoenix, AZ"
AZ,Phoenix,Data Engineer I - Data Modeler,Travelers Insurance Company,"May 20, 2023","Phoenix, AZ"
AZ,Phoenix,Data Analytics Specialist,Cadmus,"April 19, 2023","Phoenix, AZ"
AZ,Phoenix,"Data Engineer I, Underwriting Automation and Artificial Intelligence",Travelers Insurance Company,"April 14, 2023","Phoenix, AZ"
AR,Little Rock,Data Scientist,Ford Motor Company,"May 13, 2023","Little Rock, AR"
AR,Bentonville,Data Scientist,Deloitte,"April 22, 2023","Bentonville, AR"
AR,FAYETTEVIL,Enterprise Data Scientist,Arkansas Department of Workforce Services,"May 25, 2023","FAYETTEVIL, AR"
AR,Lowell,Enterprise Data Scientist,Arvest Bank Operations (DWS Rogers),"May 25, 2023","Lowell, AR"
AR,Little Rock,Senior Data Scientist,Humana,"May 25, 2023","Little Rock, AR"
AR,Bentonville,Senior Data Scientist,Humana,"May 25, 2023","Bentonville, AR"
AR,Rogers,Senior Data Scientist,Humana,"May 25, 2023","Rogers, AR"
AR,Rogers,Lead NLP Data Scientist,Humana,"June 1, 2023","Rogers, AR"
AR,Little Rock,Senior Data Scientist,Pearson,"June 3, 2023","Little Rock, AR"
AR,Little Rock,Data Scientist (REMOTE)Sedgwick,,"April 28, 2023","Little Rock, AR"
AR,Little Rock,"Data Scientist, Product Analytics",Meta,"May 26, 2023","Little Rock, AR"
AR,Little Rock,"Data Scientist, Product Analytics",Meta,"May 19, 2023","Little Rock, AR"
AR,Little Rock,Cleared Data Scientist,Guidehouse,"April 6, 2023","Little Rock, AR"
AR,Little Rock,Director & Data Scientist (REMOTE)Travelers Insurance Company,,"June 2, 2023","Little Rock, AR"
AR,Little Rock,Senior Data Scientist I (Remote)RELX INC,,"April 25, 2023","Little Rock, AR"
AR,Little Rock,Cleared Data Scientist - Data Mining/Analytics/Data Visualization,Guidehouse,"May 19, 2023","Little Rock, AR"
AR,Little Rock,"Data Scientist, Product - Generative AIMeta",,"June 3, 2023","Little Rock, AR"
AR,Little Rock,Data Scientist-Business Intelligence Engineer (Remote)Wolters Kluwer,,"May 19, 2023","Little Rock, AR"
AR,Little Rock,"Data Scientist, Product Analytics - Monetization",Meta,"May 23, 2023","Little Rock, AR"
AR,Little Rock,"Data Scientist, Product Analytics - Monetization",Meta,"May 23, 2023","Little Rock, AR"
AR,Little Rock,Labs - Data Scientist - Senior Associate,PwC,"May 27, 2023","Little Rock, AR"
AR,Fayetteville,Labs - Data Scientist - Senior Associate,PwC,"May 27, 2023","Fayetteville, AR"
AR,Little Rock,"Data Scientist, Product Analytics - App Foundation",Meta,"May 20, 2023","Little Rock, AR"
AR,Little Rock,Cleared Data Scientist - Data Mining/CX/Customer Analytics,Guidehouse,"April 12, 2023","Little Rock, AR"
AR,Little Rock,AVP & Data Scientist (DS Leadership)Travelers Insurance Company,,"April 11, 2023","Little Rock, AR"
AR,Little Rock,"Data Scientist, Underwriting Automation and Artificial Intelligence",Travelers Insurance Company,"April 14, 2023","Little Rock, AR"
AR,Little Rock,Senior Data Scientist - REQ001119_43245530923_1-3175The,CollegeBoard,"May 31, 2023","Little Rock, AR"
AR,Little Rock,Data Scientist (Engineer II) - REQ001040_43245530923_1-3175The,CollegeBoard,"June 1, 2023","Little Rock, AR"
AR,Little Rock,"Senior Data Scientist, Predictive Analytics/Artificial Intelligence – (JRD DS)J&J Family of Companies",,"May 20, 2023","Little Rock, AR"
AR,Little Rock,"Customer Success Director, Data & Analytics",Acxiom LLC,"May 18, 2023","Little Rock, AR"
AR,Rogers,Business Intelligence Engineer,Humana,"May 31, 2023","Rogers, AR"
AR,Little Rock,"Director, Data Science - Fraud Detection",Travelers Insurance Company,"May 24, 2023","Little Rock, AR"
AR,Little Rock,Data Engineer I - Data Modeler,Travelers Insurance Company,"May 20, 2023","Little Rock, AR"
AR,Little Rock,Data Analytics Specialist,Cadmus,"April 19, 2023","Little Rock, AR"
AR,Little Rock,"Data Engineer I, Underwriting Automation and Artificial Intelligence",Travelers Insurance Company,"April 14, 2023","Little Rock, AR"
CA,Cupertino,Data Scientist,PDS Tech Inc,"April 27, 2023","Cupertino, CA"
CA,Cupertino,Data Scientist,"ICONMA, LLC","April 20, 2023","Cupertino, CA"
CA,San Bruno,Data Scientist,FocusKPI Inc.,"May 27, 2023","San Bruno, CA"
CA,Los Angeles,Data Scientist,Motion Recruitment Partners,"April 7, 2023","Los Angeles, CA"
CA,Los Angeles,Data Scientist,Motion Recruitment Partners,"April 7, 2023","Los Angeles, CA"
MD,California,Data Scientist,"Integration Innovation, Inc. (i3)","April 6, 2023","California, MD"
CA,Sacramento,Data Scientist,Ford Motor Company,"May 13, 2023","Sacramento, CA"
CA,Remote,Data Scientist,Virtualitics,"April 23, 2023","Remote, CA"
CA,Alameda,Data Scientist,Abbott,"May 14, 2023","Alameda, CA"
CA,Costa Mesa,Data Scientist,Deloitte,"April 22, 2023","Costa Mesa, CA"
CA,Fresno,Data Scientist,Deloitte,"April 22, 2023","Fresno, CA"
CA,San Jose,Data Scientist,Deloitte,"April 22, 2023","San Jose, CA"
CA,Pleasanton,Data Scientist,Deloitte,"April 22, 2023","Pleasanton, CA"
CA,San Diego,Data Scientist,HP Inc.,"April 6, 2023","San Diego, CA"
CA,Palo Alto,Data Scientist,HP Inc.,"April 6, 2023","Palo Alto, CA"
CA,San Francisco,Data Scientist,Deloitte,"April 22, 2023","San Francisco, CA"
CA,Campbell,Senior Data Scientist,Humana,"May 25, 2023","Campbell, CA"
CA,Fresno,Senior Data Scientist,Humana,"May 25, 2023","Fresno, CA"
CA,Los Angeles,Senior Data Scientist,Humana,"May 25, 2023","Los Angeles, CA"
CA,Torrance,Senior Data Scientist,Humana,"May 25, 2023","Torrance, CA"
CA,San Diego,Senior Data Scientist/Analyst,H2 Performance Consulting,"May 26, 2023","San Diego, CA"
CA,Torrance,Lead NLP Data Scientist,Humana,"June 1, 2023","Torrance, CA"
CA,Alameda,"Data Scientist, Data Strategy and Analytics",Abbott,"April 19, 2023","Alameda, CA"
CA,Fremont,"Data Scientist, Product Analytics",Meta,"June 3, 2023","Fremont, CA"
CA,San Francisco,Lead Data Scientist,Cisco,"June 2, 2023","San Francisco, CA"
CA,Sacramento,Senior Data Scientist,Pearson,"June 3, 2023","Sacramento, CA"
CA,Thousand Oaks,"SENIOR DATA SCIENTIST, QUALITYAmgen",,"June 1, 2023","Thousand Oaks, CA"
CA,Alameda,Senior Data Scientist,Abbott,"April 26, 2023","Alameda, CA"
CA,Los Angeles,"Data Scientist, Product Analytics",Meta,"May 27, 2023","Los Angeles, CA"
CA,Sacramento,"Data Scientist, Product Analytics",Meta,"May 26, 2023","Sacramento, CA"
CA,Mountain View,"Data Scientist, Analytics",Airtable,"June 1, 2023","Mountain View, CA"
CA,San Francisco,"Data Scientist, Product Analytics",Meta,"May 20, 2023","San Francisco, CA"
CA,Sacramento,"Data Scientist, Product Analytics",Meta,"May 19, 2023","Sacramento, CA"
CA,Menlo Park,"Data Scientist, Product Analytics",Meta,"May 19, 2023","Menlo Park, CA"
CA,Burlingame,"Data Scientist, Product Analytics",Meta,"May 19, 2023","Burlingame, CA"
CA,Menlo Park,"Data Scientist, Product Analytics",Meta,"May 19, 2023","Menlo Park, CA"
CA,Chatsworth,Data Scientist IIGoodman Manufacturing Company,,"May 12, 2023","Chatsworth, CA"
CA,Burlingame,"Data Scientist, Product Analytics",Meta,"May 19, 2023","Burlingame, CA"
CA,San Francisco,"Data Scientist, Product Analytics",Meta,"May 19, 2023","San Francisco, CA"
CA,Cupertino,Computer Vision Data Scientist,Apple,"April 7, 2023","Cupertino, CA"
CA,Mountain View,Senior Business Data Scientist,Intuit,"May 18, 2023","Mountain View, CA"
CA,San Francisco,Senior Data Scientist,Microsoft Corporation,"May 3, 2023","San Francisco, CA"
CA,Los Angeles,Senior Data Scientist,Microsoft Corporation,"May 3, 2023","Los Angeles, CA"
CA,Sacramento,Cleared Data Scientist,Guidehouse,"April 6, 2023","Sacramento, CA"
CA,Canoga Park,HR Data Scientist,Aerojet Rocketdyne,"April 7, 2023","Canoga Park, CA"
CA,Sacramento,HR Data Scientist,Aerojet Rocketdyne,"April 7, 2023","Sacramento, CA"
CA,Pasadena,Data Scientist IVJet Propulsion Laboratory,,"May 31, 2023","Pasadena, CA"
CA,Pleasanton,Lead Data Scientist,The Clorox Company,"May 17, 2023","Pleasanton, CA"
CA,West Sacramento,Staff Data Scientist-Lead,Danaher Corporation,"April 19, 2023","West Sacramento, CA"
CA,Palo Alto,Senior Product Data Scientist,Celonis,"April 15, 2023","Palo Alto, CA"
CA,San Diego,Principal Data Scientist,Labcorp,"May 13, 2023","San Diego, CA"
CA,San Francisco,Product Data Scientist,Waymo,"May 12, 2023","San Francisco, CA"
CA,Mountain View,Product Data Scientist,Waymo,"May 12, 2023","Mountain View, CA"
CA,Los Angeles,Junior Health Analytics Data Scientist,UCLA Health,"June 1, 2023","Los Angeles, CA"
CA,Cupertino,"Data Scientist - SIML, ISEApple",,"June 2, 2023","Cupertino, CA"
CA,Cupertino,Subscriptions & Commerce Data Scientist,Apple,"June 3, 2023","Cupertino, CA"
CA,Thousand Oaks,Data Scientist- Supply Chain Analytics,"ICONMA, LLC","May 18, 2023","Thousand Oaks, CA"
CA,Los Angeles,Data Scientist (L5) - Ads,Netflix,"May 25, 2023","Los Angeles, CA"
CA,Sacramento,Director & Data Scientist (REMOTE)Travelers Insurance Company,,"June 2, 2023","Sacramento, CA"
CA,Thousand Oaks,Senior Data Scientist and Protein Designer,Amgen,"May 23, 2023","Thousand Oaks, CA"
CA,Sacramento,Senior Data Scientist I (Remote)RELX INC,,"April 25, 2023","Sacramento, CA"
CA,Sacramento,Cleared Data Scientist - Data Mining/Analytics/Data Visualization,Guidehouse,"May 19, 2023","Sacramento, CA"
CA,Sacramento,"Data Scientist, Product - Generative AIMeta",,"June 3, 2023","Sacramento, CA"
CA,Menlo Park,"Data Scientist, Product - Generative AIMeta",,"June 3, 2023","Menlo Park, CA"
CA,Los Angeles,"Data Scientist, Machine Learning Applications in Genomics and Clinical Data",UCLA Health,"April 15, 2023","Los Angeles, CA"
CA,Sacramento,Data Scientist-Business Intelligence Engineer (Remote)Wolters Kluwer,,"May 19, 2023","Sacramento, CA"
CA,Menlo Park,"Data Scientist, Product Analytics - App Foundation",Meta,"June 3, 2023","Menlo Park, CA"
CA,Cupertino,App Store & Arcade Marketing Data Scientist,Apple,"June 1, 2023","Cupertino, CA"
CA,Menlo Park,"Data Scientist, Product Analytics - Monetization",Meta,"May 23, 2023","Menlo Park, CA"
CA,Sacramento,"Data Scientist, Product Analytics - Monetization",Meta,"May 23, 2023","Sacramento, CA"
CA,Menlo Park,"Data Scientist, Product Analytics - Monetization",Meta,"May 23, 2023","Menlo Park, CA"
CA,Sacramento,"Data Scientist, Product Analytics - Monetization",Meta,"May 23, 2023","Sacramento, CA"
CA,Sacramento,Labs - Data Scientist - Senior Associate,PwC,"May 27, 2023","Sacramento, CA"
CA,San Jose,Labs - Data Scientist - Senior Associate,PwC,"May 27, 2023","San Jose, CA"
CA,Los Angeles,Labs - Data Scientist - Senior Associate,PwC,"May 27, 2023","Los Angeles, CA"
CA,San Diego,Labs - Data Scientist - Senior Associate,PwC,"May 27, 2023","San Diego, CA"
CA,Irvine,Labs - Data Scientist - Senior Associate,PwC,"May 27, 2023","Irvine, CA"
CA,San Francisco,Labs - Data Scientist - Senior Associate,PwC,"May 27, 2023","San Francisco, CA"
CA,Irvine,Data Scientist - Fortune 500 Company,Motion Recruitment Partners,"April 7, 2023","Irvine, CA"
CA,San Diego,Data Scientist - Fortune 500 Company,Motion Recruitment Partners,"April 7, 2023","San Diego, CA"
CA,Sacramento,"Data Scientist, Product Analytics - App Foundation",Meta,"May 20, 2023","Sacramento, CA"
CA,Oakland,Data Scientist - Care Delivery Analytics,Kaiser Permanente,"June 1, 2023","Oakland, CA"
CA,Mountain View,"Power Systems Data Scientist, Project Tapestry",Google,"April 15, 2023","Mountain View, CA"
CA,Palmdale,Data Scientist Analyst Senior - Level 3Lockheed Martin,,"June 3, 2023","Palmdale, CA"
CA,Sacramento,Cleared Data Scientist - Data Mining/CX/Customer Analytics,Guidehouse,"April 12, 2023","Sacramento, CA"
CA,Pleasanton,Senior Data Scientist (Forecasting and ML Ops)The Clorox Company,,"May 12, 2023","Pleasanton, CA"
CA,Oakland,Senior Data Scientist (Forecasting and ML Ops)The Clorox Company,,"May 12, 2023","Oakland, CA"
CA,San Francisco,"Senior Data Scientist, Support (NLP and Causal Inference)Door",Dash,"April 20, 2023","San Francisco, CA"
CA,Redwood City,"Business and Marketing Data Scientist, Applied Machine Learning",Google,"May 30, 2023","Redwood City, CA"
CA,Los Angeles,"Engineering Data Scientist, Monetization, 8+ Years of Experience",Snap Inc.,"May 12, 2023","Los Angeles, CA"
CA,Palo Alto,"Engineering Data Scientist, Monetization, 8+ Years of Experience",Snap Inc.,"May 12, 2023","Palo Alto, CA"
CA,Sacramento,AVP & Data Scientist (DS Leadership)Travelers Insurance Company,,"April 11, 2023","Sacramento, CA"
CA,Sacramento,"Data Scientist, Underwriting Automation and Artificial Intelligence",Travelers Insurance Company,"April 14, 2023","Sacramento, CA"
CA,Los Angeles,"Engineering Data Scientist, 5+ Years of Experience",Snap Inc.,"April 20, 2023","Los Angeles, CA"
CA,San Francisco,"Data Scientist, Analytics - Messenger - Product Foundations",Meta,"May 25, 2023","San Francisco, CA"
CA,Menlo Park,"Data Scientist, Analytics - Messenger - Product Foundations",Meta,"May 25, 2023","Menlo Park, CA"
CA,Cupertino,"AI Data Scientist/Machine Learning Engineer, WW CSOApple",,"May 25, 2023","Cupertino, CA"
CA,Cupertino,AIML - Data Scientist -Operations Research and Machine Learning,Apple,"May 23, 2023","Cupertino, CA"
CA,Sacramento,"Senior Data Scientist, Predictive Analytics/Artificial Intelligence – (JRD DS)J&J Family of Companies",,"May 20, 2023","Sacramento, CA"
CA,La Jolla,"Senior Data Scientist, Predictive Analytics/Artificial Intelligence – (JRD DS)J&J Family of Companies",,"May 20, 2023","La Jolla, CA"
CO,Boulder,Data Scientist,ChampionX LLC,"May 31, 2023","Boulder, CO"
CO,Golden,Data Scientist,Colorado School Of Mines,"June 1, 2023","Golden, CO"
CO,Centennial,Data Scientist,Rose International INC,"May 18, 2023","Centennial, CO"
CO,Lone Tree,Data Scientist,Kiewit,"May 27, 2023","Lone Tree, CO"
CO,Colorado Springs,Data Scientist,"Torch Technologies, Inc","June 1, 2023","Colorado Springs, CO"
CO,Golden,Data Scientist,Colorado State,"May 27, 2023","Golden, CO"
CO,Denver,Data Scientist,Ford Motor Company,"May 13, 2023","Denver, CO"
CO,Greenwood Village,Data Scientist,ClearChoice Dental Implant Centers,"April 27, 2023","Greenwood Village, CO"
CO,Denver,Data Scientist,Deloitte,"April 22, 2023","Denver, CO"
CO,Colorado Springs,Data Scientist,Deloitte,"April 22, 2023","Colorado Springs, CO"
CO,Aurora,"Data Scientist, Lead",Booz Allen Hamilton,"May 24, 2023","Aurora, CO"
CO,Aurora,"Data Scientist, Mid",Booz Allen Hamilton,"May 19, 2023","Aurora, CO"
CO,Colorado Springs,Senior Data Scientist,Humana,"May 25, 2023","Colorado Springs, CO"
CO,Denver,Senior Data Scientist,The College Board,"June 3, 2023","Denver, CO"
CO,Aurora,"Data Scientist, Lead",Booz Allen Hamilton INC,"May 25, 2023","Aurora, CO"
CO,Colorado Springs,Lead NLP Data Scientist,Humana,"June 1, 2023","Colorado Springs, CO"
CO,Denver,Data Scientist - Pricing,The Hertz Corporation,"June 1, 2023","Denver, CO"
CO,Aurora,"Data Scientist, Mid",Booz Allen Hamilton INC,"May 22, 2023","Aurora, CO"
CO,Denver,Senior Data Scientist,Pearson,"June 3, 2023","Denver, CO"
CO,Denver,Senior Data Scientist,The College Board,"May 5, 2023","Denver, CO"
CO,Denver,"Data Scientist, Product Analytics",Meta,"May 26, 2023","Denver, CO"
CO,Denver,Senior Data Scientist,"Jack Henry & Associates, Inc.","May 31, 2023","Denver, CO"
CO,Denver,"Data Scientist, Product Analytics",Meta,"May 19, 2023","Denver, CO"
CO,Denver,Data Scientist (Engineer II)The College Board,,"May 10, 2023","Denver, CO"
CO,Peterson AFB,Data Scientist - Senior,PAE,"May 12, 2023","Peterson AFB, CO"
CO,Englewood,Senior Data Scientist,DISH,"May 6, 2023","Englewood, CO"
CO,Peterson AFB,Data Scientist - Senior,Amentum,"April 6, 2023","Peterson AFB, CO"
CO,Denver,Cleared Data Scientist,Guidehouse,"April 6, 2023","Denver, CO"
CO,Aurora,Senior Data Scientist,Lockheed Martin,"May 17, 2023","Aurora, CO"
CO,Colorado Springs,"Tech Excellence Data Scientist, Mid",Booz Allen Hamilton,"April 26, 2023","Colorado Springs, CO"
CO,Denver,Sr Data Scientist - Pricing,The Hertz Corporation,"June 1, 2023","Denver, CO"
CO,Colorado Springs,"Tech Excellence Data Scientist, Mid",Booz Allen Hamilton INC,"May 30, 2023","Colorado Springs, CO"
CO,Lakewood,Data Scientist Trainee - Hybrid,Colorado State,"June 3, 2023","Lakewood, CO"
CO,Denver,Senior Data Scientist I (Remote)RELX INC,,"April 25, 2023","Denver, CO"
CO,Denver,Cleared Data Scientist - Data Mining/Analytics/Data Visualization,Guidehouse,"May 19, 2023","Denver, CO"
CO,Denver,"Data Scientist, Product - Generative AIMeta",,"June 3, 2023","Denver, CO"
CO,Denver,"Data Scientist, Product Analytics - Monetization",Meta,"May 23, 2023","Denver, CO"
CO,Denver,"Data Scientist, Product Analytics - Monetization",Meta,"May 23, 2023","Denver, CO"
CO,Denver,Labs - Data Scientist - Senior Associate,PwC,"May 27, 2023","Denver, CO"
CO,Denver,"Data Scientist, Product Analytics - App Foundation",Meta,"May 20, 2023","Denver, CO"
